"Provinsi","Gada","KG","KH","GM","APB","GPL","TSN","GB","BJR","BB","TL"
"ACEH",4406,173,43,1,108,106,2,493,1435,81,198
"SUMATERA UTARA",3827,127,59,82,483,78,4,964,732,52,483
"SUMATERA BARAT",513,43,18,0,248,57,0,364,342,65,222
"RIAU",1224,51,194,0,53,15,0,0,455,1,21
"JAMBI",1001,16,16,0,44,2,0,36,476,17,57
"SUMATERA SELATAN",2644,98,64,0,90,3,0,49,380,36,103
"BENGKULU",1195,19,4,0,17,14,0,66,171,15,81
"LAMPUNG",2093,30,11,0,158,35,0,47,328,23,70
"KEP. BANGKA BELITUNG",265,0,14,0,77,17,0,0,59,0,1
"KEP. RIAU",241,27,57,0,40,69,0,0,61,1,25
"DKI JAKARTA",152,0,1,0,0,5,0,1,109,0,7
"JAWA BARAT",3081,442,76,0,412,91,0,601,1193,100,1288
"JAWA TENGAH",5637,278,49,26,619,128,0,114,1249,69,1190
"DI YOGYAKARTA",233,31,4,3,84,12,0,52,50,1,59
"JAWA TIMUR",4655,156,50,74,486,87,4,2449,1176,96,511
"BANTEN",914,77,8,0,107,39,1,158,419,41,96
"BALI",482,2,8,0,46,34,0,79,39,5,105
"NUSA TENGGARA BARAT",748,88,19,0,65,44,0,100,187,54,44
"NUSA TENGGARA TIMUR",1487,454,144,54,1219,218,0,246,570,151,610
"KALIMANTAN BARAT",1158,75,135,0,53,48,0,0,864,22,66
"KALIMANTAN TENGAH",789,37,66,0,16,12,0,0,735,9,24
"KALIMANTAN SELATAN",973,35,60,0,70,30,0,0,929,31,74
"KALIMANTAN TIMUR",628,32,52,0,26,9,0,6,343,5,74
"KALIMANTAN UTARA",248,6,13,0,3,3,0,18,200,0,42
"SULAWESI UTARA",1075,24,25,0,107,95,0,349,288,37,218
"SULAWESI TENGAH",984,42,29,0,85,117,0,556,567,57,133
"SULAWESI SELATAN",1863,60,22,0,293,39,0,272,620,52,251
"SULAWESI TENGGARA",1852,16,12,0,104,58,0,43,240,10,46
"GORONTALO",352,57,9,0,34,37,0,95,259,24,65
"SULAWESI BARAT",105,22,8,0,26,35,0,498,125,7,144
"MALUKU",798,26,26,0,54,165,0,106,153,2,58
"MALUKU UTARA",423,12,16,1,42,124,0,589,270,20,80
"PAPUA BARAT",1482,5,12,0,6,30,0,318,138,0,72
"PAPUA",5142,9,14,0,11,57,0,57,204,9,146
"INDONESIA",52670,2570,1338,241,5286,1913,11,8726,15366,1093,6664
